solver,num_matrices,success_rate,timeout_rate,avg_deviation,std_deviation,avg_time,percentile_90_time,best_cost
Greedy (best_insertion),78,1.0,0.0,0.0,0.0,1.3820604192904937,2.659949541091919,102891955.0
Becker (non-opt),78,0.9423076923076923,0.057692307692307696,3.528852109386448,0.8716200484580161,1.4047504021571233,2.884403705596924,99236913.0
GreatDeluge,78,1.0,0.0,4.229267704558154,1.2093029805829931,0.17168297217442438,0.2500889301300049,96736886.0
LocalSearch best,78,1.0,0.0,6.429280081525378,1.238115854203942,0.17436251426354432,0.22177600860595703,93571780.17554057
LocalSearch best rest,78,1.0,0.0,6.4910256787453475,1.1784083636983556,0.15612156161895166,0.19844194650650027,93855874.66291867
Becker (opt),78,1.0,0.0,11.96485579700502,1.2671311341297415,0.0027097310775365583,0.004000306129455566,90349897.0
LocalSearch random,78,1.0,0.0,13.769641618230098,2.2322839242284047,0.17366639161721253,0.22000157833099365,89625725.87668042
LocalSearch first,78,1.0,0.0,13.828169225171983,2.0956591156456654,0.17324155569076538,0.21997153759002686,87579809.75138004
Greedy (random),78,1.0,0.0,33.224670950008985,4.6927359158046755,0.4281695836629623,0.8589752912521362,72943592.0
Greedy (basic),78,1.0,0.0,33.35983943519799,4.593993138651363,0.4283190644704379,0.854336142539978,72134867.0
